resp_id ,project_id,status_of_contact
VN02000000000152,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000154,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000155,PVN2020XXX_BEANBOX,OK
VN02000000000159,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000160,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000161,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000162,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000164,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000166,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000167,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000168,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000170,PVN2020XXX_BEANBOX,Máy bận
VN02000000000171,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000172,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000173,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000174,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000175,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000176,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000177,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000178,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000179,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000180,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000182,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000183,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000184,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000185,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000186,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000187,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000188,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000189,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000190,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000191,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000192,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000193,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000194,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000195,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000197,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000198,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000199,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000200,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000201,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000202,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000203,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000204,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000205,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000206,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000207,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000208,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000209,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000210,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000211,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000212,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000213,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000214,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000215,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000216,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000217,PVN2020XXX_BEANBOX,Máy bận
VN02000000000218,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000219,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000220,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000221,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000222,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000223,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000224,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000225,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000226,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000227,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000228,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000229,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000230,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000231,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000232,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000233,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000234,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000235,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000236,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000237,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000238,PVN2020XXX_BEANBOX,Máy bận
VN02000000000239,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000240,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000241,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000242,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000243,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000244,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000245,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000246,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000247,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000248,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000249,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000250,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000251,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000252,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000253,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000254,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000255,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000256,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000257,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000258,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000259,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000260,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000261,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000262,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000263,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000264,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000265,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000266,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000267,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000268,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000269,PVN2020XXX_BEANBOX,Máy bận
VN02000000000270,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000271,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000272,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000273,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000274,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000275,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000301,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000302,PVN2020XXX_BEANBOX,Hết quota
VN02000000000303,PVN2020XXX_BEANBOX,OK
VN02000000000307,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000308,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000309,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000310,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000311,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000312,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000313,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000314,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000315,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000316,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000317,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000318,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000319,PVN2020XXX_BEANBOX,Máy bận
VN02000000000320,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000321,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000322,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000323,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000324,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000325,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000326,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000327,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000328,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000329,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000330,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000331,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000332,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000333,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000337,PVN2020XXX_BEANBOX,Máy bận
VN02000000000338,PVN2020XXX_BEANBOX,OK
VN02000000000342,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000343,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000344,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000345,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000346,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000347,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000348,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000349,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000350,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000351,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000352,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000353,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000354,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000358,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000362,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000363,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000364,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000365,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000366,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000367,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000371,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000375,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000379,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000380,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000381,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000382,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000383,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000384,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000385,PVN2020XXX_BEANBOX,Máy bận
VN02000000000386,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000387,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000388,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000389,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000390,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000391,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000392,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000393,PVN2020XXX_BEANBOX,OK
VN02000000000397,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000401,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000402,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000403,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000404,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000405,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000406,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000407,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000408,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000409,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000410,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000411,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000412,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000413,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000414,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000415,PVN2020XXX_BEANBOX,Máy bận
VN02000000000416,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000417,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000418,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000419,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000420,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000421,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000422,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000423,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000424,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000425,PVN2020XXX_BEANBOX,Số điện thoại không liên lạc được
VN02000000000426,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000427,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000428,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000429,PVN2020XXX_BEANBOX,Máy bận
VN02000000000430,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000431,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000432,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000433,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000434,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000435,PVN2020XXX_BEANBOX,OK
VN02000000000439,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000440,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000441,PVN2020XXX_BEANBOX,Đáp viên không phải là chủ của số điện thoại này
VN02000000000442,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000443,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000444,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000445,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000446,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000447,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000448,PVN2020XXX_BEANBOX,OK
